interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/7,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d021-sr-09-8-nic1-port1,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d027-sr-09-10-nic1-port1,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d033-sr-09-12-nic1-port1,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d039-sr-09-14-nic1-port1,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d045-sr-09-16-nic1-port1,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM300238KA,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d051-sr-09-18-nic1-port1,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d004-sr-10-2-nic2-port3,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d010-sr-10-4-nic2-port3,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d016-sr-10-6-nic2-port3,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d022-sr-10-8-nic2-port3,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d028-sr-10-10-nic2-port3,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d034-sr-10-12-nic2-port3,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d040-sr-10-14-nic2-port3,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d046-sr-10-16-nic2-port3,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d052-sr-10-18-nic2-port3,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/1,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d004-sr-10-2-nic1-port1,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d010-sr-10-4-nic1-port1,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d016-sr-10-6-nic1-port1,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d022-sr-10-8-nic1-port1,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d028-sr-10-10-nic1-port1,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d034-sr-10-12-nic1-port1,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d040-sr-10-14-nic1-port1,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d046-sr-10-16-nic1-port1,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30054E0H,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d052-sr-10-18-nic1-port1,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30054DXD,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d004-sr-10-2-nic2-port4,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30054DXD,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d010-sr-10-4-nic2-port4,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30054DXD,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d016-sr-10-6-nic2-port4,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30054DXD,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d022-sr-10-8-nic2-port4,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
